CARGO DEPENDENCIES
==================================================

  addr2line                                v0.24.2
  aes                                      v0.8.4
  aho-corasick                             v1.1.3
  backtrace                                v0.3.74
  base64                                   v0.21.7
  base64                                   v0.22.1
  block-buffer                             v0.10.4
  bytes                                    v1.7.2
  bzip2                                    v0.4.4
  bzip2-sys                                v0.1.11
  cacao                                    v0.3.2
  core-foundation                          v0.9.4
  crc32fast                                v1.4.2
  encoding_rs                              v0.8.34
  findshlibs                               v0.10.2
  flate2                                   v1.0.34
  futures-channel                          v0.3.31
  futures-core                             v0.3.31
  futures-util                             v0.3.31
  generic-array                            v0.14.7
  gimli                                    v0.31.1
  h2                                       v0.3.26
  hashbrown                                v0.15.0
  hmac                                     v0.12.1
  hostname                                 v0.4.0
  http                                     v0.2.12
  http                                     v1.1.0
  http-body-util                           v0.1.2
  httparse                                 v1.9.5
  httpdate                                 v1.0.3
  hyper                                    v0.14.30
  hyper                                    v1.4.1
  hyper-tls                                v0.5.0
  hyper-tls                                v0.6.0
  hyper-util                               v0.1.9
  idna                                     v0.5.0
  indexmap                                 v2.6.0
  ipnet                                    v2.10.1
  lazy_static                              v1.5.0
  memchr                                   v2.7.4
  mime                                     v0.3.17
  miniz_oxide                              v0.8.0
  mio                                      v1.0.2
  native-tls                               v0.2.12
  objc                                     v0.2.7
  objc2                                    v0.6.3
  objc2-encode                             v4.1.0
  objc2-foundation                         v0.3.2
  objc2-osa-kit                            v0.3.2
  objc_id                                  v0.1.1
  object                                   v0.36.5
  once_cell                                v1.20.2
  os_info                                  v3.8.2
  osakit                                   v0.3.1
  parking_lot                              v0.12.3
  parking_lot_core                         v0.9.10
  percent-encoding                         v2.3.1
  rand                                     v0.8.5
  rand_chacha                              v0.3.1
  regex                                    v1.11.0
  regex-automata                           v0.4.8
  regex-syntax                             v0.8.5
  reqwest                                  v0.11.27
  reqwest                                  v0.12.8
  rustc-demangle                           v0.1.24
  same-file                                v1.0.6
  security-framework                       v2.11.1
  sentry                                   v0.36.0
  sentry-backtrace                         v0.36.0
  sentry-contexts                          v0.36.0
  sentry-core                              v0.36.0
  sentry-debug-images                      v0.36.0
  sentry-panic                             v0.36.0
  sentry-types                             v0.36.0
  serde                                    v1.0.210
  serde_json                               v1.0.128
  sha-1                                    v0.10.1
  signal-hook-registry                     v1.4.2
  slab                                     v0.4.9
  smallvec                                 v1.13.2
  socket2                                  v0.5.7
  sqlite                                   v0.31.1
  system-configuration                     v0.5.1
  time                                     v0.3.36
  tinyvec                                  v1.8.0
  tokio                                    v1.45.1
  tokio-native-tls                         v0.3.1
  tokio-util                               v0.7.12
  unicode-bidi                             v0.3.17
  unicode-normalization                    v0.1.24
  url                                      v2.5.2
  uuid                                     v1.10.0
  walkdir                                  v2.5.0
  want                                     v0.3.1
  zip                                      v0.6.6
  zstd                                     v0.11.2
  zstd-safe                                v5.0.2

Total: 97 crates
